,City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
23161,Sydney,2000,Aquatics,Diving,"SAUTIN, Dmitry",RUS,Men,10m platform,M,Bronze
23162,Sydney,2000,Aquatics,Diving,"TIAN, Liang",CHN,Men,10m platform,M,Gold
23163,Sydney,2000,Aquatics,Diving,"HU, Jia",CHN,Men,10m platform,M,Silver
23164,Sydney,2000,Aquatics,Diving,"MONTMINY, Anne Katherine",CAN,Women,10m platform,W,Bronze
23165,Sydney,2000,Aquatics,Diving,"WILKINSON, Laura",USA,Women,10m platform,W,Gold
23166,Sydney,2000,Aquatics,Diving,"LI, Na",CHN,Women,10m platform,W,Silver
23167,Sydney,2000,Aquatics,Diving,"SAUTIN, Dmitry",RUS,Men,3m springboard,M,Bronze
23168,Sydney,2000,Aquatics,Diving,"XIONG, Ni",CHN,Men,3m springboard,M,Gold
23169,Sydney,2000,Aquatics,Diving,"PLATAS, Fernando",MEX,Men,3m springboard,M,Silver
23170,Sydney,2000,Aquatics,Diving,"LINDNER, Doerte",GER,Women,3m springboard,W,Bronze
23171,Sydney,2000,Aquatics,Diving,"FU, Mingxia",CHN,Women,3m springboard,W,Gold
23172,Sydney,2000,Aquatics,Diving,"GUO, Jingjing",CHN,Women,3m springboard,W,Silver
23173,Sydney,2000,Aquatics,Diving,"HEMPEL, Jan",GER,Men,synchronized diving 10m platform,M,Bronze
23174,Sydney,2000,Aquatics,Diving,"MEYER, Heiko",GER,Men,synchronized diving 10m platform,M,Bronze
23175,Sydney,2000,Aquatics,Diving,"LOUKACHINE, Igor",RUS,Men,synchronized diving 10m platform,M,Gold
23176,Sydney,2000,Aquatics,Diving,"SAUTIN, Dmitry",RUS,Men,synchronized diving 10m platform,M,Gold
23177,Sydney,2000,Aquatics,Diving,"HU, Jia",CHN,Men,synchronized diving 10m platform,M,Silver
23178,Sydney,2000,Aquatics,Diving,"TIAN, Liang",CHN,Men,synchronized diving 10m platform,M,Silver
23179,Sydney,2000,Aquatics,Diving,"GILMORE, Rebecca",AUS,Women,synchronized diving 10m platform,W,Bronze
23180,Sydney,2000,Aquatics,Diving,"TOURKY, Loudy",AUS,Women,synchronized diving 10m platform,W,Bronze
23181,Sydney,2000,Aquatics,Diving,"LI, Na",CHN,Women,synchronized diving 10m platform,W,Gold
23182,Sydney,2000,Aquatics,Diving,"SANG, Xue",CHN,Women,synchronized diving 10m platform,W,Gold
23183,Sydney,2000,Aquatics,Diving,"HEYMANS, Emilie",CAN,Women,synchronized diving 10m platform,W,Silver
23184,Sydney,2000,Aquatics,Diving,"MONTMINY, Anne Katherine",CAN,Women,synchronized diving 10m platform,W,Silver
23185,Sydney,2000,Aquatics,Diving,"NEWBERY, Robert",AUS,Men,synchronized diving 3m springboard,M,Bronze
23186,Sydney,2000,Aquatics,Diving,"PULLAR, Dean",AUS,Men,synchronized diving 3m springboard,M,Bronze
23187,Sydney,2000,Aquatics,Diving,"XIAO, Hailiang",CHN,Men,synchronized diving 3m springboard,M,Gold
23188,Sydney,2000,Aquatics,Diving,"XIONG, Ni",CHN,Men,synchronized diving 3m springboard,M,Gold
23189,Sydney,2000,Aquatics,Diving,"DOBROSKOK, Alexandre",RUS,Men,synchronized diving 3m springboard,M,Silver
23190,Sydney,2000,Aquatics,Diving,"SAUTIN, Dmitry",RUS,Men,synchronized diving 3m springboard,M,Silver
23191,Sydney,2000,Aquatics,Diving,"SOROKINA, Ganna",UKR,Women,synchronized diving 3m springboard,W,Bronze
